pub_year,topic_field_display_name,num_publications,cross_collaboration_metric,authors
1922,Medicine,9,0.6666666666666666,488
1922,"Pharmacology, Toxicology and Pharmaceutics",1,0.0,0
1922,Physics and Astronomy,4,1.0,74
1922,Psychology,4,1.0,47
1922,Social Sciences,37,0.7333333333333333,456
1923,Agricultural and Biological Sciences,10,1.0,204
1923,Arts and Humanities,21,0.9545454545454546,623
1923,"Biochemistry, Genetics and Molecular Biology",1,0.0,0
1923,"Business, Management and Accounting",1,1.0,55
1923,Chemical Engineering,1,1.0,8
1923,Chemistry,2,1.0,51
1923,Computer Science,1,0.0,0
1923,Earth and Planetary Sciences,2,0.6666666666666666,42
1923,"Economics, Econometrics and Finance",9,0.8,69
1923,Engineering,7,0.9,191
1923,Environmental Science,1,0.0,0
1923,Health Professions,6,0.8333333333333334,100
1923,Immunology and Microbiology,1,1.0,12
1923,Mathematics,2,1.0,55
1923,Medicine,26,0.9142857142857143,521
1923,Neuroscience,1,0.0,0
1923,Nursing,2,0.5,11
1923,Physics and Astronomy,2,1.0,76
1923,Psychology,6,0.7142857142857143,52
1923,Social Sciences,27,0.75,478
1924,Agricultural and Biological Sciences,12,1.0,218
1924,Arts and Humanities,20,0.95,647
1924,"Biochemistry, Genetics and Molecular Biology",2,0.0,0
1924,"Business, Management and Accounting",2,0.5,56
1924,Chemical Engineering,1,1.0,84
1924,Chemistry,1,1.0,52
1924,Computer Science,1,1.0,36
1924,Dentistry,1,1.0,9
1924,Earth and Planetary Sciences,2,0.5,44
1924,"Economics, Econometrics and Finance",2,1.0,71
1924,Energy,2,1.0,21
1924,Engineering,7,0.5,195
1924,Environmental Science,2,0.5,85
1924,Health Professions,5,0.8,104
1924,Immunology and Microbiology,1,0.0,0
1924,Materials Science,1,0.0,0
1924,Mathematics,4,1.0,60
1924,Medicine,15,0.8666666666666667,535
1924,Neuroscience,4,0.5,14
1924,Nursing,1,1.0,12
1924,Physics and Astronomy,2,1.0,80
1924,Psychology,5,0.8,56
1924,Social Sciences,27,0.8148148148148148,500
1925,Agricultural and Biological Sciences,9,1.0,232
1925,Arts and Humanities,28,0.8181818181818182,675
1925,"Biochemistry, Genetics and Molecular Biology",2,1.0,93
1925,"Business, Management and Accounting",5,0.5,59
1925,Chemistry,4,0.75,57
1925,Earth and Planetary Sciences,3,1.0,47
1925,"Economics, Econometrics and Finance",4,0.75,75
1925,Energy,1,1.0,22
1925,Engineering,6,0.8571428571428571,200
1925,Environmental Science,5,0.6,88
1925,Health Professions,4,1.0,110
1925,Mathematics,3,1.0,63
1925,Medicine,15,1.0,552
1925,Neuroscience,1,1.0,15
1925,Nursing,2,0.3333333333333333,13
1925,"Pharmacology, Toxicology and Pharmaceutics",1,1.0,2
1925,Physics and Astronomy,2,1.0,83
1925,Psychology,3,0.6666666666666666,58
1925,Social Sciences,28,0.9,529
1926,Agricultural and Biological Sciences,10,0.9166666666666666,246
1926,Arts and Humanities,36,0.9333333333333333,719
1926,"Biochemistry, Genetics and Molecular Biology",4,0.5,97
1926,"Business, Management and Accounting",6,0.8571428571428571,69
1926,Chemical Engineering,1,1.0,86
1926,Chemistry,4,1.0,62
1926,Decision Sciences,1,0.5,6
