topic_field_display_name,id,pub_year
Immunology and Microbiology,9,1957
"Biochemistry, Genetics and Molecular Biology",9,1913
Earth and Planetary Sciences,9,1932
Energy,9,1974
Materials Science,9,1932
Nursing,9,1962
Chemistry,9,1931
Physics and Astronomy,9,1903
"Business, Management and Accounting",9,1906
Nursing,9,1954
"Economics, Econometrics and Finance",9,1900
Mathematics,9,1934
Psychology,9,1942
Environmental Science,9,1995
Nursing,9,1979
Materials Science,9,1935
Computer Science,9,1934
Chemical Engineering,9,1992
Mathematics,9,1901
Mathematics,10,1954
Mathematics,10,1927
"Biochemistry, Genetics and Molecular Biology",10,1916
Environmental Science,10,1903
Neuroscience,10,1971
Energy,10,1971
Nursing,10,1958
Psychology,10,1934
Environmental Science,10,1934
Computer Science,10,1949
Psychology,10,1918
Immunology and Microbiology,10,1971
Psychology,10,1933
Physics and Astronomy,10,1933
"Economics, Econometrics and Finance",10,1917
Immunology and Microbiology,10,1958
Nursing,10,1966
Earth and Planetary Sciences,10,1916
Chemical Engineering,10,1982
Earth and Planetary Sciences,10,1909
"Economics, Econometrics and Finance",10,1906
Environmental Science,10,1915
Dentistry,10,1985
"Economics, Econometrics and Finance",10,1915
Earth and Planetary Sciences,10,1914
Engineering,10,1914
Health Professions,10,1907
Mathematics,10,1956
Neuroscience,10,1961
Decision Sciences,10,1961
Chemistry,10,1926
Environmental Science,10,1911
Physics and Astronomy,10,1922
"Economics, Econometrics and Finance",10,1911
Earth and Planetary Sciences,10,1924
Physics and Astronomy,10,1926
"Pharmacology, Toxicology and Pharmaceutics",10,1969
"Biochemistry, Genetics and Molecular Biology",10,1943
Computer Science,10,1980
Environmental Science,10,1918
Physics and Astronomy,10,1931
"Economics, Econometrics and Finance",10,1948
Neuroscience,10,1948
Dentistry,10,1989
Dentistry,10,1969
Psychology,10,1936
"Economics, Econometrics and Finance",10,1943
Psychology,10,1941
Computer Science,10,1937
Decision Sciences,10,1959
Materials Science,10,1933
Engineering,11,1917
Nursing,11,1957
Veterinary,11,1983
Psychology,11,1929
Environmental Science,11,1921
Agricultural and Biological Sciences,11,1910
"Biochemistry, Genetics and Molecular Biology",11,1910
"Biochemistry, Genetics and Molecular Biology",11,1925
"Economics, Econometrics and Finance",11,1927
Psychology,11,1927
Materials Science,11,1937
Physics and Astronomy,11,1956
Immunology and Microbiology,11,1956
Computer Science,11,1952
Neuroscience,11,1960
